Produto;Categoria;Marca;Preço de venda
100 - TRIDENTE BODE BBQ C/ BAINHA;ACESSORIOS;CANTAGALLO; R$103,87 
102 - OREGANO;MOLHOS E TEMPEROS;CANTAGALLO; R$10,00 
103 - PALETA DE CORDEIRO (1.2-1.4 R) (1 CAIXA);CORDEIRO;VPJ; R$58,50 
104 - PANCETA EXPRESS (DUROC PORK) (1 CAIXA);SUINO/CORTES ESPECIAIS;DUROK; R$28,99 
105 - PAO DE ALHO BAGUETE TRAD 12X300G;PAO DE ALHO;ZINHO; R$11,00 
106 - PAO DE ALHO TRAD SANTA MASSA-BDJ;PAO DE ALHO;SANTA MASSA; R$11,00 
107 - PAPRICA DEFUMADA;MOLHOS E TEMPEROS;CANTAGALLO; R$19,30 
108 - PICANHA  AUS CONG FEED KILCOY;BOVINO;FEED LOT KILCOY; R$55,90 
109 - PICANHA (A) IMPORT ANA PAULA PULL CONG;BOVINO;ANA PAULA; R$76,99 
11 - TABUA DE CORTE BRASA EXPRESS - 25CM X 40CM X 2,5CM ESPESSURA;ACESSORIOS;ARTE RUSTICA; R$65,00 
110 - PICANHA (DUROC PORK) - VPJ;SUINO;VPJ; R$52,54 
111 - PICANHA A 1,7KG UP BOV CONG CAPE GRIM;BOVINO;CAPE GRIM; R$76,00 
112 - PICANHA A BEEF CLUB RESF.;BOVINO;BEEF CLUB; R$45,00 
113 - COUNTRY RIB (JANELA R) - VPJ;BOVINO;VPJ; R$34,25 
114 - PICANHA A S/ESP. GRILL RESFR. MINERVA;BOVINO;MINERVA; R$55,25 
115 - PICANHA A SUPER CONG URUGUAI  FRIGOGY;BOVINO;FRIGOGY; R$59,92 
116 - PICANHA ANGUS USA MAT CONG FEEDLOT CHOICE HIGHIER;BOVINO;FEEDLOT CHOICE HIGHIER; R$64,85 
117 - PICANHA ARGENTINA CONG. ARREBEEF;BOVINO;ARREBEFF; R$59,00 
118 - LUVA BLACK BBQ M;ACESSORIOS;CANTAGALLO; R$30,00 
119 - PICANHA BOV RESF;BOVINO;FRIBOI; R$47,51 
12 - BARBECUE - CAFE- 240ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
120 - PICANHA BOV RESF FRIBOI 1953;BOVINO;JBS 1953; R$97,86 
121 - PICANHA BOV RESF MATURATTA;BOVINO;FRIBOI; R$55,94 
122 - PICANHA CONG CREEKSTONE BLACK ANGUS;BOVINO;CREEKSTONE; R$78,91 
123 - PICANHA CONG FRIGOMERC;BOVINO;FRIGOMERC; R$42,00 
124 - PICANHA CONG. IBP EXCELLENCE;BOVINO;IBP; R$64,00 
125 - PICANHA CONG. PUL;BOVINO;PULL URUGUAIA; R$48,50 
126 - PICANHA GRILL CONG. LA ANONIMA;BOVINO;LA ANONIMA; R$65,90 
127 - PICANHA GRILL CONG. PANDO;BOVINO;PANDO; R$59,90 
128 - PICANHA NOBRE RESFR. MINERVA;BOVINO;MINERVA; R$35,00 
129 - PICANHA RESF PREMIUM BEEF MONTANA;BOVINO;MONTANA; R$67,00 
13 - BARBECUE CACHACA  - 240ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$15,80 
130 - PICANHA S/P BOV MAT CONG BPU;BOVINO;BPU PARAGUAIA; R$60,62 
131 - FACA PICANHEIRA PLUS PATA DE CAVALO INOX CABO DE OSSO;ACESSORIOS;ZAKHAROV; R$316,00 
132 - PRIME RIB (600G BLACK ANGUS) VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$107,64 
133 - PRIME RIB (STEAK 0.6-0.7 R) VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$91,00 
134 - PRIME RIB (STEAK DUROC PORK R) - VPJ;SUINO/CORTES ESPECIAIS;VPJ; R$37,60 
135 - PRIME RIB (TOMAHAWK 700G R) - VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$90,90 
136 - PRIME RIB (TOMAHAWK DUROC PORK) VPJ;SUINO/CORTES ESPECIAIS;VPJ; R$42,00 
137 - PRIME RIB 3 RIPAS (DUROC PORK) - VPJ;SUINO/CORTES ESPECIAIS;VPJ; R$34,80 
138 - SACO A VACUO 20X25 0.12 LISO C/1000;ACESSORIOS;BAIAO; R$123,23 
139 - SACO A VACUO 25X35 0.12 LISO C/1000 MH;ACESSORIOS;BAIAO; R$0,21 
14 - Barbecue -GOIABADA - 240ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$15,80 
140 - SAL COM ALECRIM - VPJ;MOLHOS E TEMPEROS;VPJ; R$14,70 
141 - SAL COM ESPECIARIAS (ANGUS) - VPJ;MOLHOS E TEMPEROS;VPJ; R$30,80 
142 - SAL COM HORTELA VPJ;MOLHOS E TEMPEROS;VPJ; R$14,70 
143 - SAL DE PARRILLA ARGENTINO 600G;MOLHOS E TEMPEROS;CANTAGALLO; R$15,40 
144 - SAL DE PARRILLA ARGENTINO 900G;MOLHOS E TEMPEROS;CANTAGALLO; R$18,30 
145 - SAL DE PARRILLA C/ PIMENTA 1000G;MOLHOS E TEMPEROS;CANTAGALLO; R$23,25 
146 - SAL DE PARRILLA ENTREFINO NETAO 1000G;MOLHOS E TEMPEROS;CANTAGALLO; R$19,70 
147 - SAL GROSSO E ALHO 600G;MOLHOS E TEMPEROS;CANTAGALLO; R$15,80 
148 - SAL GROSSO E ALHO 900G;MOLHOS E TEMPEROS;CANTAGALLO; R$18,70 
149 - SAL GROSSO E CHIMICHURRI 600G;MOLHOS E TEMPEROS;CANTAGALLO; R$15,80 
15 - Barbecue -GOIABADA - 240ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$15,80 
150 - SAL GROSSO E CHIMICHURRI 900G;MOLHOS E TEMPEROS;CANTAGALLO; R$18,70 
151 - SAL GROSSO E ERVAS FINAS 600G;MOLHOS E TEMPEROS;CANTAGALLO; R$15,80 
152 - SAL GROSSO E ERVAS FINAS 900G;MOLHOS E TEMPEROS;CANTAGALLO; R$18,70 
153 - SAL GROSSO LEBRE;MOLHOS E TEMPEROS;LEBRE; R$2,20 
154 - SAL GROSSO ROSA DO HIMALAIA 600G (GROSSO);MOLHOS E TEMPEROS;CANTAGALLO; R$17,60 
155 - SAL MARINHO GOURMET 650G;MOLHOS E TEMPEROS;CANTAGALLO; R$19,60 
156 - SAL ROSA DO HIMALAIA (200g);MOLHOS E TEMPEROS;CANTAGALLO; R$14,48 
157 - SAL ROSA DO HIMALAIA EM PEDRAS;MOLHOS E TEMPEROS;HIMALAIA; R$135,00 
158 - Salsa Argentina - 160 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
159 - BOMBOM 02 PECA/ SUPERIOR (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$76,09 
16 - FILÉ MIGNON INTERMEZZO;(todas);INTERMEZZO; R$83,86 
160 - SASHIMI KANTO PLUS INOX 27 CM DESTRO CABO DE ACRILICO;ACESSORIOS;ZAKHAROV; R$250,00 
161 - SHORT RIB (STEAK DUROC PORK) - VPJ;SUINO/CORTES ESPECIAIS;VPJ; R$51,58 
162 - SHORT RIB PORCIONADO - LJ (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$61,79 
163 - SHOULDER (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$58,80 
164 - SHOULDER (DUROC PORK) - VPJ;SUINO/CORTES ESPECIAIS;VPJ; R$27,80 
165 - SHOULDER (R) - VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$61,51 
166 - STEAK GRILL (0.3 R) VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$64,31 
167 - ALCOOL LIQUIDO PEQUENO 92,8 INPM 500ML - FLOPS;ACENDEDOR;FLOPS; R$5,50 
168 - BARBECUE - CAFE- 240ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$15,80 
169 - T-BONE (550G BLACK ANGUS) VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$108,88 
17 - BIFE ANCHO PORCIONADO PECA INTEIRA / ESPECIAL 3 A 3,5CM (1 K;BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$67,20 
170 - T-BONE (STEAK 0.6-0.7 R) - VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$75,47 
171 - Tempero Defumado ( Tempero Churrascador ) - 350 g;MOLHOS E TEMPEROS;CHEF'SBOSS; R$24,00 
172 - TEMPERO ESPECIAL MR. GALLO;MOLHOS E TEMPEROS;CANTAGALLO; R$17,40 
174 - TIBONE PORCIONADO SUPERIOR;BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$69,59 
175 - TOP BRISKET (GRANITO R) (1 CAIXA);BOVINO/CORTES ESPECIAIS;VPJ; R$33,70 
176 - Mostarda Tropical - 160 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
177 - MAMINHA;BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$58,80 
178 - TUTANO (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$22,36 
179 - Creme Agridoce - 160 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
18 - BIFE DE CHORIZO (0.3 R) VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$76,88 
180 - Farofa de Nacho ( Tempero Doraditas ) - 300 g;MOLHOS E TEMPEROS;CHEF'SBOSS; R$24,00 
181 - FLOR DE SAL NETAO;MOLHOS E TEMPEROS;CANTAGALLO; R$19,11 
182 - MOLHO CHIMICHURRI 200G;MOLHOS E TEMPEROS;CANTAGALLO; R$26,50 
183 - PICANHA AUS CONG BEEF CITY;BOVINO;BEEF CITY; R$58,37 
184 - TABUA DE CORTE RUSTICA;ACESSORIOS;COMPANHIA RUSTICA; R$360,00 
185 - COSTELA SUINA M.CONG.COOPAVEL CX +- 20KG;(todas);(todas); R$16,24 
186 - CHUCK STEAK;(todas);INTERMEZZO; R$55,86 
187 - ASSADO GAUCHO;(todas);INTERMEZZO; R$95,20 
188 - PORTERHOUSE;(todas);INTERMEZZO; R$79,80 
189 - MAMINHA;(todas);INTERMEZZO; R$58,80 
19 - BIFE DE CHORIZO PORCIONADO PECA INTEIRA / ESPECIAL 3 A 3,5CM (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$60,62 
190 - ASSADO GAUCHO;(todas);INTERMEZZO; R$95,20 
191 - FRALDINHA;(todas);INTERMEZZO; R$67,20 
192 - QUEIJO COALHO;(todas);QUATAR; R$48,01 
193 - PALETA DE CORDEIRO ;CORDEIRO;PALMEIRAS; R$44,66 
194 - COSTELA DE CORDEIRO;CORDEIRO;PALMEIRAS; R$44,66 
195 - TIBONE DE CORDEIRO;CORDEIRO;PALMEIRAS; R$44,66 
196 - CARRE DE CORDEIRO;CORDEIRO;PALMEIRAS; R$44,66 
199 - LINGUIÇA DE CORDEIRO ;CORDEIRO;VPJ; R$18,99 
2 - ALHO TEMPERADO EM CONSERVA;MOLHOS E TEMPEROS;CANTAGALLO; R$20,60 
20 - BIFE DE RIBEYE (0.3 R) - VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$96,74 
200 - BARBECUE MINEIRO ;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
201 - PRIME RIB INTERMEZZO;BOVINO/CORTES ESPECIAIS;(todas); R$76,86 
202 - COSTELA DO TRASEIRO BOVINO;(todas);(todas); R$14,92 
21 - Barbecue Mineiro  - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
22 - Salsa Argentina - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
23 - BOMBOM PECA/ SUPERIOR 600/900 (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$55,99 
24 - Masala Chutney - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
25 - Mostarda Tropical - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
26 - Creme Agridoce - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
27 - CAIXA QUARTETO;ACESSORIOS;CANTAGALLO; R$82,68 
28 - FLAT IRON;(todas);INTERMEZZO; R$75,60 
29 - CARRE FATIADO INTER CONG;SUINO;BRF; R$12,00 
3 - MOLHO CHIMICHURRI PICANTE 200 GRS;MOLHOS E TEMPEROS;CHIMICHURRI; R$12,06 
30 - CARVAO RIO BRASAS 3 KG;ACENDEDOR;RIOBRASAS; R$7,50 
3003 - picanha suina temperada ;SUINO;DALIA; R$22,00 
3004 - CARVAO BOM DE BRASA 4 KG PREMIUM;(todas);BOM DE BRASA; R$17,20 
3005 - LASCAS DE LENHA BOM DE BRASA ACACIA NEGRA 1 KG;(todas);BOM DE BRASA; R$30,70 
3006 - LASCAS DE LENHA BOM DE BRASA LARANJEIRA 1 KG;(todas);BOM DE BRASA; R$30,70 
3007 - LASCAS DE LENHA BOM DE BRASA MACIEIRA 1 KG;(todas);BOM DE BRASA; R$30,70 
3008 - LASCAS DE LENHA BOM DE BRASA PESSEGUEIRO 1 KG;(todas);BOM DE BRASA; R$30,70 
3009 - LASCAS DE LENHA BOM DE BRASA SAZONAL 1 KG;(todas);BOM DE BRASA; R$30,70 
3010 - LENHA BOM DE BRASA CHURRASCO LARANJEIRA 8 KG;(todas);BOM DE BRASA; R$48,50 
3011 - LENHA BOM DE BRASA CHURRASCO MACIEIRA 8 KG;(todas);BOM DE BRASA; R$48,50 
3012 - LENHA BOM DE BRASA CHURRASCO PESSEGUEIRO 8 KG;(todas);BOM DE BRASA; R$48,50 
3013 - SMOKE BOX BOM DE BRASA E BBQ EM CASA;(todas);BOM DE BRASA; R$93,40 
3014 - COSTELA JANELA FRIGOVITTA 25 KG;(todas);(todas); R$14,00 
3015 - CORACAO PCT DIPLOMATA 12 KG;(todas);(todas); R$18,60 
3016 - PROMOCAO DIAS DOS PAIS KIT;(todas);(todas); R$115,89 
3017 - STEAK DE WAGYU (PATINHO) (1 KG);(todas);INTERMEZZO; R$65,66 
3018 - CHORIZO GRILL PORCIONADO/  07-08 PURO  (1 KG);(todas);INTERMEZZO; R$462,00 
3019 - MIOLO DE PALETA/ 07-08 PURO (PICANHA DO DIANTEIRO) (1 KG);(todas);INTERMEZZO; R$100,80 
3020 - STEAK DE WAGYU / COXAO DURO BIFES ( CONGELADO) (1 KG);(todas);INTERMEZZO; R$96,60 
3021 - RIBEYE PORCIONADO/  07-08 PURO 360/380 (1 KG);(todas);INTERMEZZO; R$729,40 
3022 - COXAO MOLE PORCIONADO/  07-08 PURO (2 KG);(todas);INTERMEZZO; R$62,90 
3023 - ROUND STEAK WAGYU 7/8 PURO (LAGARTO) (1 KG);(todas);INTERMEZZO; R$79,66 
3024 - KIT FUTEBOL;(todas);(todas); R$187,00 
3025 - CORONA;(todas);BEBIDAS; R$9,00 
3026 - HEINEKEN;(todas);BEBIDAS; R$8,00 
3027 - STELLA ARTOIS;(todas);BEBIDAS; R$8,00 
3028 - REFRIGERANTE ;(todas);BEBIDAS; R$5,00 
3029 - AGUA;(todas);BEBIDAS; R$4,00 
3030 - PICANHA BOV. IMP. CONG. FB ( ARGENTINA );(todas);(todas); R$58,80 
3031 - PRIME RIBE CONG ANGUS CARAPRETA 12KG;(todas);(todas); R$76,86 
3032 - PICANHA GRILL ANGUS FAT LAS PIEDRAS 15KG;(todas);(todas); R$62,20 
3033 - PICANHA GRILL MINERVA 11 KG;(todas);(todas); R$63,50 
3034 - KIT CORDEIRO PALMEIRAS CX+- 12KG;(todas);(todas); R$44,66 
3035 - LINGUICA DE FRANGO C.VALE CX 12 KG;(todas);FRIGANSO; R$12,50 
3036 - LINGUICA TOSCANA SUINCO 5 / 15 KG;(todas);(todas); R$12,10 
3037 - ASA 2JTA TULIPA FGO CONG SADIA PT 1KG;(todas);FRIGANSO; R$17,54 
3038 - COXINHA ASA MOLHO MOSTAR NABRASA 800GR;(todas);FRIGANSO; R$12,00 
3039 - SOBRECOXA MOLHO CHIMICHURRI NABRASA 800G;(todas);FRIGANSO; R$11,00 
3040 - LINGUICA (APERITIVO CX 500) (15 CAIXETA);(todas);VPJ; R$18,99 
3041 - PESCOÇO DE CORDEIRO;(todas);PALMEIRAS; R$44,66 
3042 - PERNIL DE CORDEIRO;(todas);PALMEIRAS; R$44,66 
3043 - PICANHA BOV AMERICANA [AL][1,0/1,25];(todas);(todas); R$77,00 
3045 - DRUMET BELLO PCT 1 CX20KG;(todas);(todas); R$11,00 
3046 - ASA ENVELOP. LE VIDA 16 KG;(todas);(todas); R$11,00 
31 - CARVAO VEGETAL;ACENDEDOR;PICA PAU; R$15,00 
32 - GARRA DE URSO;ACESSORIOS;CANTAGALLO; R$87,60 
33 - FACA CHEF TRADICAO INOX CABO DE MADEIRA;ACESSORIOS;ZAKHAROV; R$240,00 
34 - CONT. FILE RESF S/NOIX BEEF CLUB;BOVINO;BEEF CLUB; R$26,00 
35 - CONTRA FILE;BOVINO;BOI BRASIL; R$28,00 
36 - CONTRA FILE BOV RESF DO CHEF;BOVINO;FRIBOI; R$28,00 
37 - CONTRA FILE RESF L.K.J;BOVINO;L.K.J; R$26,00 
38 - CORACAO DE FGO PERDIGAO;FRANGO;PERDIG?O; R$18,00 
39 - COSTELA (DUROC PORK R);SUINO;DUROK; R$35,00 
4 - ASA IND. DANIELI;FRANGO;IND. DANIELI; R$11,00 
40 - COSTELA SUINA CONG PERDIGAO;SUINO;PERDIG?O; R$15,83 
41 - PICANHA A FRIBOI BOVINA RESF;BOVINO;FRIBOI; R$33,18 
42 - COXINHA ASA FGO CONG ITF;FRANGO;PERDIG?O; R$11,00 
43 - KIT 6 MOEDORES;MOLHOS E TEMPEROS;CANTAGALLO; R$120,51 
44 - DRUMET IND. GUIBON;FRANGO;GUIBON; R$11,00 
45 - DRY RUB 160g;MOLHOS E TEMPEROS;CANTAGALLO; R$18,90 
46 - DRY RUB 400G;MOLHOS E TEMPEROS;CANTAGALLO; R$29,10 
47 - ENTRANHAS (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$40,00 
48 - ERVAS FINAS 35g;MOLHOS E TEMPEROS;CANTAGALLO; R$11,07 
49 - ASA IND. SABOROSA;FRANGO;SABOROSA; R$11,00 
50 - ASSADO DE TIRA VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$41,93 
51 - BONE STEAK CINZA;ACESSORIOS;CANTAGALLO; R$52,00 
52 - FILE DE COSTELA BOV RESF MATURATTA;BOVINO;FRIBOI; R$28,00 
53 - FILE MIGNON BOV RESF (3/4LB S/TRANCA) DO CHEF;BOVINO;FRIBOI; R$42,00 
54 - FILET DE SUI. C/BACON KI-FACIL15KG DALIA;SUINO;DALIA; R$22,37 
55 - FLOR DE SAL;MOLHOS E TEMPEROS;CANTAGALLO; R$21,50 
56 - CAIXA TRIDENTE CANTAGALLO;ACESSORIOS;CANTAGALLO; R$123,37 
57 - FRENCH RACK (DORPER LAMB) (1 CAIXA);CORDEIRO;VPJ; R$174,50 
58 - FRENCH RACK DE CORDEIRO (0.6-0.8 R) (2 CAIXA);CORDEIRO;VPJ; R$131,96 
59 - FUMACA LIQUIDA 150 ML;MOLHOS E TEMPEROS;CANTAGALLO; R$19,15 
6 - ASA INT FGO CONG ITF PERDIGAO;FRANGO;PERDIG?O; R$11,00 
60 - FACA CHEF PREFERIDA INOX CABO DE MADEIRA;ACESSORIOS;ZAKHAROV; R$240,00 
61 - FACA GOLDEN BULL INOX CABO DE OSSO;ACESSORIOS;ZAKHAROV; R$300,00 
62 - CAIXA GARRA CANTAGALLO;ACESSORIOS;CANTAGALLO; R$138,78 
63 - KIT GRANDE DE CONTRA FILE;KIT;BRASA EXPRESS; R$209,70 
64 - KIT MEDIO DE CONTRA FILE;KIT;BRASA EXPRESS; R$134,20 
65 - KIT PEQUENO DE CONTRA FILE;KIT;BRASA EXPRESS; R$83,20 
66 - Kit Six Pack;MOLHOS E TEMPEROS;CHEF'SBOSS; R$37,99 
67 - LEMON PEPPER;MOLHOS E TEMPEROS;CANTAGALLO; R$20,97 
68 - LINGUICA (APERITIVO CX 500) (15 CAIXETA);SUINO;VPJ; R$18,99 
69 - LINGUICA (BLACK ANGUS) (1 BOVINO);BOVINO;VPJ; R$45,00 
7 - ASSADO DE TIRA (PREMIUM 2 R) - VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$62,99 
70 - LINGUICA ANGUS (COSTELA CX 500G) (15 CAIXETA);BOVINO;VPJ; R$18,99 
71 - LINGUICA CARNE SUINA CONG PERDIGAO;SUINO;PERDIG?O; R$12,00 
72 - LINGUICA CARNE SUINA CONG PERDIGAO;SUINO;PERDIG?O; R$12,00 
73 - LINGUICA DE FRANGO SADIA;FRANGO;SADIA; R$12,00 
74 - LINGUICA DE FRANGO SADIA;FRANGO;SADIA; R$12,00 
75 - LINGUICA DE FRANGO SADIA TEMPERADA;FRANGO;SADIA; R$10,00 
76 - LINGUICA DUROC (PERNIL CX 500G) (15 SUINO);SUINO;VPJ; R$18,99 
77 - LINGUICA FRANGO SEARA;FRANGO;SEARA; R$12,00 
78 - LINGUICA PARA CHURRASCO;SUINO;SADIA; R$12,00 
79 - LINGUICA SUINA SEARA;FRANGO;SEARA; R$12,00 
8 - ASSADO DE TIRA SUPERIOR - LJ (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$76,09 
80 - LINGUICA TOSCANA C QUEIJO COALHO;SUINO;NA BRASA; R$20,00 
81 - LINGUICA TOSCANA CONG SADIA;SUINO;SADIA; R$12,00 
82 - FLAT IRON;(todas);INTERMEZZO; R$75,60 
84 - Masala Chutney - 160 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
85 - BANANINHA;(todas);INTERMEZZO; R$39,20 
86 - MIX SALT GRASS - VPJ;MOLHOS E TEMPEROS;VPJ; R$17,60 
87 - MOLHO BBQ CHIPOTLE 350g;MOLHOS E TEMPEROS;CANTAGALLO; R$26,50 
88 - MOLHO BBQ ORIGINAL 350g;MOLHOS E TEMPEROS;CANTAGALLO; R$26,50 
89 - Molho Buffalo - 160 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
90 - Molho Buffalo - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
91 - BONE SSF;ACESSORIOS;CANTAGALLO; R$52,00 
92 - ASA ENV. CARRER CX 10KG;FRANGO;ENV; R$11,00 
93 - MOLHO CHIMICHURRI TRADICIONAL 200 GRS;MOLHOS E TEMPEROS;CHIMICHURRI; R$12,06 
94 - MOLHO CHIMICHURRI TRADICIONAL 330 GRS;MOLHOS E TEMPEROS;CHIMICHURRI; R$18,00 
95 - Molho de Pimenta e Cerveja Bravo - 110 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$20,40 
96 - Molho de Pimenta e Cerveja Exterminador - 110 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$20,40 
97 - Molho de Pimenta e Cerveja Pele Vermelha - 110 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$20,40 
98 - MOLHO SWEET CHILLI 380g;MOLHOS E TEMPEROS;CANTAGALLO; R$26,50 
99 - TRIDENTE BODE BBQ;ACESSORIOS;CANTAGALLO; R$84,37 
